"Joshua Martinez","CHEM-5000"
"Paige Taylor","LANG-3200"
"Alan Brown","MT-1700"
"Sarah Jordan","BTECH-3700"
"Scott Watts","CHEM-5000"
"Christopher Hoffman","CS-3100"
"James James","BTECH-3700"
"Larry Santos","LANG-3200"
"Victoria Jenkins","MED-300"
"Lindsay Carter","PHYS-4600"
"Mary Martinez","CS-3100"
"Tracy Aguirre","PHYS-4600"
"Joseph Miller","LANG-3200"
"Mario Adams","MUS-3100"
"Beth Glover","CS-3100"
"Jennifer Adams","MT-1700"
"Denise Collins","MT-1700"
"Emily Whitehead","ART-4600"
"Kenneth Ramirez","MED-300"
"Jonathan Tyler","MED-300"
"Ian Oneal","ART-4600"
"Peter Brown","MED-300"
"Gregory Short","ART-4600"
"Tammy Taylor","CS-3100"
"Robert Smith","MED-300"
"Gregory Howell","MED-300"
"Angela Shaw","ENG-4300"
"Crystal Alvarez","MUS-3100"
"Tiffany Soto","CHEM-5000"
"Scott Watts","MUS-3100"
"Paul Adams","PHYS-4600"
"Kenneth Avery","CS-3100"
"Christopher Wilson","MT-1700"
"Rachel Perez","ENG-4300"
"Brian Clark","BIO-5000"
"Julia Hinton","MUS-3100"
"Jeremy Kim","LANG-3200"
"Vanessa Alvarez","BTECH-3700"
"Andrew Townsend","CHEM-5000"
"Douglas Taylor","MT-1700"
"Janice Frazier","ENG-4300"
"James James","CHEM-5000"
"Tammy Wilkins","ART-4600"
"John Nelson","PHYS-4600"
"Rodney George","MT-1700"
"Carly Cruz","MED-300"
"Shannon Marquez","ENG-4300"
"Elizabeth Romero","BTECH-3700"
"Kristina Levy","BIO-5000"
"Luis Burke","PHYS-4600"
"Roberto Hamilton","PHYS-4600"
"Christopher Rodriguez","MUS-3100"
"Robert Wagner","PHYS-4600"
"Robert Garcia","MED-300"
"Joshua Jones","MED-300"
"Jerry Watkins","BIO-5000"
"Dustin Mitchell","HIST-4000"
"Mariah Klein","CHEM-5000"
"Michael Torres","HIST-4000"
"Darrell Tucker","ENG-4300"
"James Brown","ENG-4300"
"Elizabeth Wright","HIST-4000"
"Thomas Smith","MED-300"
"Alexander Turner","HIST-4000"
"Dominique Rice","ENG-4300"
"Andrea Stewart","MT-1700"
"Dean Moon","BTECH-3700"
"Gabrielle Parker","MUS-3100"
"Mark Guzman","ART-4600"
"Lauren Vargas","BTECH-3700"
"Jennifer Hill","PHYS-4600"
"Richard Sims","BIO-5000"
"Michael Williams","PHYS-4600"
"Jeffery Hubbard","ART-4600"
"Patrick Allen","CS-3100"
"Robert Graham","PHYS-4600"
"David Ray","MT-1700"
"Heather Gross","MT-1700"
"Tara Bullock","ENG-4300"
"Harold Pratt","MT-1700"
"Kelly Terry","BIO-5000"
"Teresa Anderson","LANG-3200"
"Madeline Harper","MUS-3100"
"Benjamin Perez","ART-4600"
"Sara Brock","PHYS-4600"
"Alvin Watkins","MUS-3100"
"Alexis Jordan","HIST-4000"
"Kayla Moody","BIO-5000"
"Sara Kent","CHEM-5000"
"Eric Collier","MED-300"
"Gloria Price","MT-1700"
"Sean Strong","LANG-3200"
"Richard Combs","CS-3100"
"Robin Cruz","BTECH-3700"
"Kimberly Johnson","BTECH-3700"
"James Miller","PHYS-4600"
"Nancy Weiss","MT-1700"
"Carla Delgado","CS-3100"
"Mr. Scott Shaw DDS","BIO-5000"
"Benjamin Boone","ENG-4300"
"Rachel Larsen","CHEM-5000"
"Lindsay Johnson","MED-300"
"Deborah Spears","LANG-3200"
"Ronald Nelson","MT-1700"
"Stephanie Mitchell","HIST-4000"
"Joan Franco","CS-3100"
"Laura Hendrix","CHEM-5000"
"Amy Mendoza","HIST-4000"
"Rebecca Smith","CHEM-5000"
"Kaitlyn Smith","CHEM-5000"
"Connie Stokes","ENG-4300"
"Kyle Daniels","LANG-3200"
"Lindsay Eaton","PHYS-4600"
"Carlos Terry","HIST-4000"
"Thomas Massey","HIST-4000"
"James Sweeney","BIO-5000"
"Heidi Rodriguez","MUS-3100"
"Pamela Johnson","PHYS-4600"
"Amber Booth","BIO-5000"
"Tiffany Martinez","LANG-3200"
"Joshua Hunt","MT-1700"
"Rachel Perez","MUS-3100"
"Roberta Jones","PHYS-4600"
"Linda Lindsey","MED-300"
"Kristy Thomas","MUS-3100"
"Emily Peterson","MED-300"
"Pamela Bailey","CHEM-5000"
"Alexis Roberts","HIST-4000"
"William Pope","BIO-5000"
"Maria Clark","ART-4600"
"Andrew Whitehead","MUS-3100"
"Karen Webster","HIST-4000"
"Aaron Reed","ART-4600"
"Teresa Anderson","HIST-4000"
"Joshua Jones","HIST-4000"
"Kyle Gibbs","LANG-3200"
"Mark Wiggins","ART-4600"
"Jay Franklin","MED-300"
"Tiffany Ferguson","MED-300"
"Mary Booth","MT-1700"
